city_name,name,category,description,is_free,entry_fee,importance
Barcelona,Sagrada Familia,architecture,Gaudí's unfinished masterpiece basilica with stunning modernist architecture and colorful stained glass.,false,26 EUR,5
Barcelona,Park Güell,viewpoint,Whimsical public park with mosaic art and panoramic city views designed by Antoni Gaudí.,false,10 EUR,4
Barcelona,La Boqueria Market,food,Vibrant food market on La Rambla offering fresh produce tapas and local specialties.,true,,4
Prague,Prague Castle,architecture,Largest ancient castle complex in the world with Gothic cathedral and stunning city views.,false,10 EUR,5
Prague,Charles Bridge,viewpoint,Historic 14th-century stone bridge lined with baroque statues connecting Old Town and Lesser Town.,true,,5
Prague,Old Town Square,cultural,Medieval square featuring the Astronomical Clock Týn Church and colorful baroque buildings.,true,,4
Florence,Uffizi Gallery,museum_art,World-class Renaissance art museum housing works by Botticelli Michelangelo and Leonardo da Vinci.,false,20 EUR,5
Florence,Florence Cathedral,architecture,Iconic cathedral with Brunelleschi's dome and Giotto's bell tower dominating the skyline.,false,18 EUR,5
Florence,Ponte Vecchio,cultural,Medieval stone bridge lined with jewelry shops spanning the Arno River.,true,,4
Paris,Louvre Museum,museum_art,World's largest art museum home to the Mona Lisa and 38000 artworks spanning centuries.,false,17 EUR,5
Paris,Eiffel Tower,viewpoint,Iconic 324-meter iron tower offering panoramic views of Paris from its observation decks.,false,28 EUR,5
Paris,Montmartre,cultural,Bohemian hilltop neighborhood with artists' square and white-domed basilica overlooking the city.,true,,4
Krakow,Wawel Castle,museum_history,Royal castle and cathedral complex on a hill showcasing Polish Renaissance architecture and crown jewels.,false,7 EUR,5
Krakow,Main Market Square,cultural,Europe's largest medieval square surrounded by cafes and the Gothic St. Mary's Basilica.,true,,5
Krakow,Kazimierz District,cultural,Historic Jewish quarter with synagogues street art and trendy cafes in atmospheric courtyards.,true,,4
London,British Museum,museum_history,World-renowned museum with vast collection including Egyptian mummies and the Rosetta Stone.,true,,5
London,Tower of London,museum_history,Historic fortress and former royal palace housing the Crown Jewels and dramatic history.,false,33 GBP,5
London,Borough Market,food,Historic food market offering international street food artisan products and gourmet delights.,true,,4
