name,country,region,primary_language,other_languages,best_seasons,cost_level,avg_hotel_cost_per_night,avg_meal_cost,description,highlights,is_unesco_heritage,unesco_sites
Bologna,Italy,Emilia-Romagna,Italian,English,spring/autumn,moderate,95,15,Italy's culinary capital and home to the world's oldest university. Medieval towers and porticoed walkways create an authentic Italian atmosphere without mass tourism. Food lovers' paradise with authentic ragù and fresh pasta.,Food capital of Italy with pasta-making traditions; Medieval porticoes and towers; Europe's oldest university (1088); Vibrant student atmosphere; Authentic Italian cuisine without tourist crowds,true,Porticoes of Bologna inscribed 2021
San Sebastián,Spain,Basque Country,Spanish/Basque,English,spring/summer/autumn,luxury,160,25,Elegant coastal city famous for pintxos bars and Michelin-starred restaurants. Belle Époque architecture meets modern culinary innovation in one of Europe's most beautiful beach cities. Three beaches and dramatic coastline.,World-class pintxos bar scene; Multiple Michelin-starred restaurants; La Concha beach consistently rated Europe's best; Basque culture and cuisine; Film festival in September,false,
Ghent,Belgium,East Flanders,Dutch,English/French,spring/summer/autumn,moderate,105,18,Medieval gem with impressive castle and vibrant alternative arts scene. Less touristy than Bruges but equally beautiful with canals and Flemish architecture. Strong student culture creates lively atmosphere.,Gravensteen medieval castle; World-class medieval art museums; Vibrant alternative culture and street art; Beautiful canals without Bruges crowds; Vegetarian-friendly city (Veggie Day birthplace),false,
Bruges,Belgium,West Flanders,Dutch,English/French,spring/autumn,moderate,120,20,Fairytale medieval city with canals chocolate shops and cobblestone streets. UNESCO heritage site perfectly preserved from 13th-15th centuries. Romantic atmosphere but can be crowded in peak summer.,UNESCO medieval city center perfectly preserved; Romantic canal tours; Belgian chocolate and beer culture; Belfry tower with panoramic views; Christmas markets among Europe's finest,true,Historic Centre of Bruges inscribed 2000
Salzburg,Austria,Salzburg State,German,English,spring/summer/autumn,moderate,115,18,Mozart's birthplace surrounded by Alpine scenery. Classical music festivals world-renowned Christmas markets and Sound of Music heritage. Baroque architecture meets mountain backdrop.,Mozart's birthplace and legacy; Salzburg Festival (classical music); Hohensalzburg Fortress with Alpine views; Sound of Music filming locations; Christmas markets in baroque setting,true,Historic Centre of Salzburg inscribed 1996
Innsbruck,Austria,Tyrol,German,English,winter/spring/summer,moderate,110,17,Alpine capital offering year-round mountain activities. Five ski areas accessible by public transport winter sports hub summer hiking paradise. Historic Old Town beneath dramatic peaks.,Five Olympic ski areas within city reach; Year-round mountain cable cars; Golden Roof and historic Old Town; Summer hiking and winter sports; Gateway to Austrian Alps,false,
Ljubljana,Slovenia,Central Slovenia,Slovenian,English,spring/summer/autumn,budget,75,12,Europe's greenest capital with car-free center and vibrant café culture. Charming small-scale city with castle riverside markets and alternative scene. Best value for quality of life in Europe.,European Green Capital award winner; Beautiful castle overlooking city; Car-free pedestrian center; Dragon Bridge and Art Nouveau architecture; Affordable prices with high quality,false,
Heidelberg,Germany,Baden-Württemberg,German,English,spring/summer/autumn,moderate,100,16,Romantic university town with impressive castle ruins overlooking Neckar River. Birthplace of German Romanticism philosophy capital and picturesque Old Town. One of few German cities undamaged in WWII.,Germany's oldest university (1386); Heidelberg Castle ruins romantically overlooking city; Philosopher's Walk with river views; Perfectly preserved baroque Old Town; Birthplace of German Romantic movement,false,
Colmar,France,Alsace,French,German/English,spring/summer/autumn/winter,moderate,105,18,Fairytale Alsatian town with half-timbered houses canals and wine routes. Perfectly preserved medieval architecture colorful buildings and pedestrian streets. Gateway to Alsace wine country.,Colorful half-timbered houses and canals; Little Venice quarter with boat tours; Route des Vins d'Alsace wine route gateway; Unterlinden Museum with Isenheim Altarpiece; Christmas capital of Alsace,false,
Siena,Italy,Tuscany,Italian,English,spring/autumn,moderate,100,15,Medieval Tuscan gem famous for Il Palio horse race and Gothic architecture. Less crowded than Florence with authentic Tuscan atmosphere. Shell-shaped Piazza del Campo one of Europe's finest squares.,Il Palio historic horse race twice yearly; Shell-shaped Piazza del Campo; Gothic cathedral with stunning artwork; Rolling Tuscan countryside; Medieval atmosphere without Florence crowds,true,Historic Centre of Siena inscribed 1995
